Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
6	683	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
6	683	0	0	0.0	0.0	0.0	0.0	4	272	4	272	0.0	0.0	0.0	0.0	dns
0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
6	651	6	651	6.0	6.0	651.0	651.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
6	683	0	0	0.0	0.0	0.0	0.0	4	272	4	272	0.0	0.0	0.0	0.0	dns
0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
6	651	6	651	6.0	6.0	651.0	651.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
6	683	0	0	0.0	6.0	0.0	683.0	4	272	4	272	0.0	0.0	0.0	0.0	dns
0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
6	651	6	651	6.0	6.0	651.0	651.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
6	683	0	0	0.0	6.0	0.0	683.0	4	272	0	0	0.0	4.0	0.0	272.0	dns
0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
6	651	6	651	6.0	6.0	651.0	651.0	4	272	4	272	4.0	4.0	272.0	272.0	dns
6	683	0	0	0.0	6.0	0.0	683.0	4	272	0	0	0.0	4.0	0.0	272.0	dns
0	0	0	0	0.0	0.0	0.0	0.0	4	272	4	272	4.0	4.0	272.0	272.0	dns
6	651	6	651	6.0	6.0	651.0	651.0	4	272	4	272	4.0	4.0	272.0	272.0	dns
6	683	0	0	0.0	6.0	0.0	683.0	4	272	0	0	0.0	4.0	0.0	272.0	dns
6	651	6	651	6.0	6.0	651.0	651.0	4	272	4	272	4.0	4.0	272.0	272.0	dns
6	651	6	651	6.0	6.0	651.0	651.0	4	272	4	272	4.0	4.0	272.0	272.0	dns
6	683	0	0	0.0	6.0	0.0	683.0	4	272	0	0	0.0	4.0	0.0	272.0	dns
6	651	6	651	6.0	6.0	651.0	651.0	4	272	0	0	0.0	2.0	0.0	136.0	dns
6	651	6	651	6.0	6.0	651.0	651.0	4	272	4	272	4.0	4.0	272.0	272.0	dns
6	683	0	0	0.0	6.0	0.0	683.0	4	272	0	0	0.0	4.0	0.0	272.0	dns
6	651	0	0	0.0	3.0	0.0	325.5	4	272	0	0	0.0	2.0	0.0	136.0	dns
6	651	6	651	6.0	6.0	651.0	651.0	4	272	4	272	4.0	4.0	272.0	272.0	dns
6	683	0	0	0.0	6.0	0.0	683.0	4	272	0	0	0.0	4.0	0.0	272.0	dns
6	651	0	0	0.0	3.0	0.0	325.5	4	272	0	0	0.0	2.0	0.0	136.0	dns
6	651	0	0	0.0	3.0	0.0	325.5	4	272	4	272	4.0	4.0	272.0	272.0	dns
6	683	0	0	0.0	6.0	0.0	683.0	4	272	0	0	0.0	4.0	0.0	272.0	dns
6	651	0	0	0.0	3.0	0.0	325.5	4	272	0	0	0.0	2.0	0.0	136.0	dns
6	651	0	0	0.0	3.0	0.0	325.5	4	272	4	272	4.0	4.0	272.0	272.0	dns
7	866	1	183	1.0	3.5	183.0	433.0	4	272	0	0	0.0	4.0	0.0	272.0	dns
6	651	0	0	0.0	3.0	0.0	325.5	4	272	0	0	0.0	2.0	0.0	136.0	dns
6	651	0	0	0.0	3.0	0.0	325.5	4	272	4	272	4.0	4.0	272.0	272.0	dns
