Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
2	133	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	telnet
2	133	0	0	0.0	0.0	0.0	0.0	2	133	2	133	0.0	0.0	0.0	0.0	telnet
2	133	0	0	0.0	0.0	0.0	0.0	2	133	2	133	0.0	0.0	0.0	0.0	telnet
2	133	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	telnet
2	133	0	0	0.0	0.0	0.0	0.0	2	133	2	133	0.0	0.0	0.0	0.0	telnet
2	133	0	0	0.0	0.0	0.0	0.0	2	133	2	133	0.0	0.0	0.0	0.0	telnet
2	133	0	0	0.0	0.0	0.0	0.0	2	133	2	133	0.0	0.0	0.0	0.0	telnet
113	7474	111	7341	111.0	113.0	7341.0	7474.0	2	133	2	133	0.0	0.0	0.0	0.0	telnet
2	133	0	0	0.0	0.0	0.0	0.0	2	133	2	133	0.0	0.0	0.0	0.0	telnet
113	7474	111	7341	111.0	113.0	7341.0	7474.0	115	9999	113	9866	113.0	115.0	9866.0	9999.0	telnet
115	9999	113	9866	113.0	115.0	9866.0	9999.0	2	133	2	133	0.0	0.0	0.0	0.0	telnet
113	7474	111	7341	111.0	113.0	7341.0	7474.0	115	9999	113	9866	113.0	115.0	9866.0	9999.0	telnet
115	9999	113	9866	113.0	115.0	9866.0	9999.0	113	7474	111	7341	111.0	113.0	7341.0	7474.0	telnet
113	7474	111	7341	111.0	113.0	7341.0	7474.0	115	9999	113	9866	113.0	115.0	9866.0	9999.0	telnet
125	10877	10	878	10.0	62.5	878.0	5438.5	113	7474	111	7341	111.0	113.0	7341.0	7474.0	telnet
113	7474	111	7341	111.0	113.0	7341.0	7474.0	115	9999	113	9866	113.0	115.0	9866.0	9999.0	telnet
125	10877	10	878	10.0	62.5	878.0	5438.5	123	8134	10	660	10.0	61.5	660.0	4067.0	telnet
113	7474	111	7341	111.0	113.0	7341.0	7474.0	115	9999	113	9866	113.0	115.0	9866.0	9999.0	telnet
125	10877	10	878	10.0	62.5	878.0	5438.5	123	8134	10	660	10.0	61.5	660.0	4067.0	telnet
123	8134	10	660	10.0	61.5	660.0	4067.0	115	9999	113	9866	113.0	115.0	9866.0	9999.0	telnet
125	10877	10	878	10.0	62.5	878.0	5438.5	123	8134	10	660	10.0	61.5	660.0	4067.0	telnet
123	8134	10	660	10.0	61.5	660.0	4067.0	125	10877	10	878	10.0	62.5	878.0	5438.5	telnet
125	10877	10	878	10.0	62.5	878.0	5438.5	123	8134	10	660	10.0	61.5	660.0	4067.0	telnet
147	9718	24	1584	24.0	49.0	1584.0	3239.3333333333335	125	10877	10	878	10.0	62.5	878.0	5438.5	telnet
125	10877	10	878	10.0	62.5	878.0	5438.5	123	8134	10	660	10.0	61.5	660.0	4067.0	telnet
147	9718	24	1584	24.0	49.0	1584.0	3239.3333333333335	149	12975	24	2098	24.0	49.666666666666664	2098.0	4325.0	telnet
149	12975	24	2098	24.0	49.666666666666664	2098.0	4325.0	123	8134	10	660	10.0	61.5	660.0	4067.0	telnet
147	9718	24	1584	24.0	49.0	1584.0	3239.3333333333335	149	12975	24	2098	24.0	49.666666666666664	2098.0	4325.0	telnet
149	12975	24	2098	24.0	49.666666666666664	2098.0	4325.0	147	9718	24	1584	24.0	49.0	1584.0	3239.3333333333335	telnet
147	9718	24	1584	24.0	49.0	1584.0	3239.3333333333335	149	12975	24	2098	24.0	49.666666666666664	2098.0	4325.0	telnet
254	22274	105	9299	105.0	63.5	9299.0	5568.5	147	9718	24	1584	24.0	49.0	1584.0	3239.3333333333335	telnet
