Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
329	22367	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
329	22367	0	0	0.0	0.0	0.0	0.0	504	67551	504	67551	0.0	0.0	0.0	0.0	voice
329	22367	0	0	0.0	0.0	0.0	0.0	504	67551	504	67551	0.0	0.0	0.0	0.0	voice
504	67551	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
329	22367	0	0	0.0	0.0	0.0	0.0	504	67551	504	67551	0.0	0.0	0.0	0.0	voice
504	67551	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
505	65975	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
329	22367	0	0	0.0	0.0	0.0	0.0	504	67551	504	67551	0.0	0.0	0.0	0.0	voice
504	67551	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
505	65975	0	0	0.0	0.0	0.0	0.0	328	22301	328	22301	0.0	0.0	0.0	0.0	voice
329	22367	0	0	0.0	0.0	0.0	0.0	504	67551	504	67551	0.0	0.0	0.0	0.0	voice
504	67551	0	0	0.0	0.0	0.0	0.0	329	22367	329	22367	0.0	0.0	0.0	0.0	voice
505	65975	0	0	0.0	0.0	0.0	0.0	328	22301	328	22301	0.0	0.0	0.0	0.0	voice
329	22367	0	0	0.0	329.0	0.0	22367.0	504	67551	504	67551	0.0	0.0	0.0	0.0	voice
504	67551	0	0	0.0	0.0	0.0	0.0	329	22367	329	22367	0.0	0.0	0.0	0.0	voice
505	65975	0	0	0.0	0.0	0.0	0.0	328	22301	328	22301	0.0	0.0	0.0	0.0	voice
329	22367	0	0	0.0	329.0	0.0	22367.0	504	67551	0	0	0.0	504.0	0.0	67551.0	voice
504	67551	0	0	0.0	0.0	0.0	0.0	329	22367	329	22367	0.0	0.0	0.0	0.0	voice
505	65975	0	0	0.0	0.0	0.0	0.0	328	22301	328	22301	0.0	0.0	0.0	0.0	voice
